0000的原像为：['000000', '011111', '101111', '111111']
0001的原像为：['000001', '011110', '101110', '111110']
0010的原像为：['000011', '011101', '101101', '111101']
0011的原像为：['000010', '011100', '101100', '111100']
0100的原像为：['000111', '011011', '101011', '111011']
0101的原像为：['000110', '011010', '101010', '111010']
0110的原像为：['000101', '011000', '101000', '111000']
0111的原像为：['000100', '011001', '101001', '111001']
1000的原像为：['001111', '010111', '100000', '110111']
1001的原像为：['001110', '010110', '100001', '110110']
1010的原像为：['001101', '010101', '100011', '110101']
1011的原像为：['001100', '010100', '100010', '110100']
1100的原像为：['001011', '010000', '100111', '110000']
1101的原像为：['001010', '010001', '100110', '110001']
1110的原像为：['001000', '010011', '100101', '110011']
1111的原像为：['001001', '010010', '100100', '110010']
